face,polygon,joins,angle,vector
0,"(392.22727272727275, 76.64285714285705)",1,1.4428828131534084,0.0355219
,"(232.487012987013, 116.25324675324669)",2,1.8833301914114648,-0.526431
,"(336.78896103896113, 225.14123376623365)",,,0.37184596
,"(517.5519480519481, 161.70779220779212)",,,
1,"(232.487012987013, 116.25324675324669)",0,1.4428828131534084,-0.50617486
,"(235.08441558441555, 222.09740259740255)",2,1.8133402184560707,0.09406024
,"(331.1883116883117, 340.9285714285714)",,,0.31519338
,"(336.82954545454555, 225.12094155844144)",,,
2,"(336.82954545454555, 225.12094155844144)",0,1.8833301914114648,0.46423778
,"(331.1883116883117, 340.9285714285714)",1,1.8133402184560707,0.49205604
,"(487.03246753246754, 275.3441558441558)",,,0.26456603
,"(517.5519480519481, 161.70779220779212)",,,
