face,polygon,joins,angle,vector
0,"(246.12337662337663, 100.01948051948045)",1,0.7668371207983116,0.060979288
,"(296.93506493506493, 214.7516233766233)",2,1.9739960226373778,-0.4883238
,"(512.3571428571429, 184.43506493506487)",,,0.39344865
,"(419.5, 83.13636363636357)",,,
1,"(246.12337662337663, 100.01948051948045)",0,0.7668371207983116,-0.24016255
,"(248.07142857142858, 209.11038961038952)",2,1.6668460890179562,-0.16522004
,"(293.52597402597405, 331.1883116883116)",,,0.46692634
,"(297.01623376623377, 214.73133116883108)",,,
2,"(297.01623376623377, 214.73133116883108)",0,1.9739960226373778,0.25745526
,"(293.52597402597405, 331.1883116883116)",1,1.6668460890179562,0.6075875
,"(479.2402597402597, 298.72077922077915)",,,0.26693657
,"(512.3571428571429, 184.43506493506487)",,,
