face,polygon,joins,angle,vector
0,"(215.6038961038961, 126.64285714285705)",1,1.6368037393360078,0.033453446
,"(332.48701298701303, 234.59740259740255)",2,1.9828892579490196,-0.5900745
,"(505.2142857142858, 158.46103896103887)",,,0.34433797
,"(374.0454545454546, 75.34415584415575)",,,
1,"(215.6038961038961, 126.64285714285705)",0,1.6368037393360078,-0.5831046
,"(223.39610389610388, 235.08441558441552)",2,1.9526427027779958,0.16426878
,"(326.64285714285717, 346.77272727272725)",,,0.2521714
,"(332.48701298701303, 234.6785714285714)",,,
2,"(332.48701298701303, 234.6785714285714)",0,1.9828892579490196,0.5527156
,"(505.2142857142858, 158.46103896103887)",1,1.9526427027779958,0.5060816
,"(475.3441558441558, 270.1493506493506)",,,0.1970303
,"(326.64285714285717, 346.77272727272725)",,,
