face,polygon,joins,angle,vector
0,"(359.7597402597403, 72.74675324675314)",1,2.0021092874226576,0.065169595
,"(224.69480519480518, 131.83766233766227)",2,1.9035650158383852,-0.68018985
,"(382.32467532467535, 227.33279220779212)",,,0.29771233
,"(513.6558441558441, 140.27922077922068)",,,
1,"(224.69480519480518, 131.83766233766227)",0,2.0021092874226576,-0.5982701
,"(231.1883116883117, 245.4740259740259)",2,1.8855382238422902,0.37503687
,"(370.1493506493507, 344.8246753246753)",,,0.21520929
,"(382.2435064935065, 227.2719155844155)",,,
2,"(382.2435064935065, 227.2719155844155)",0,1.9035650158383852,0.6183509
,"(513.6558441558441, 140.27922077922068)",1,1.8855382238422902,0.4139936
,"(484.43506493506493, 246.7727272727272)",,,0.1836655
,"(370.1493506493507, 344.8246753246753)",,,
