face,polygon,joins,angle,vector
0,"(224.04545454545453, 108.46103896103887)",1,0.8973003179779265,-0.28431326
,"(228.5909090909091, 216.90259740259734)",2,1.788912930615432,-0.18795477
,"(289.62987012987014, 338.3311688311688)",,,0.4837786
,"(284.8409090909091, 222.46266233766227)",,,
1,"(224.04545454545453, 108.46103896103887)",0,0.8973003179779265,0.010574484
,"(284.88149350649354, 222.56412337662331)",2,2.2386370852166695,-0.647459
,"(501.31818181818187, 179.8896103896103)",,,0.29877532
,"(400.01948051948057, 79.24025974025966)",,,
2,"(284.88149350649354, 222.56412337662331)",0,1.788912930615432,0.32583404
,"(289.62987012987014, 338.3311688311688)",1,2.2386370852166695,0.6164167
,"(471.4480519480519, 292.22727272727263)",,,0.23612306
,"(501.31818181818187, 179.8896103896103)",,,
