face,polygon,joins,angle,vector
0,"(327.2922077922078, 72.74675324675314)",1,2.153690227350758,0.124821216
,"(224.69480519480518, 149.3701298701298)",2,1.3550083322183508,-0.6083367
,"(423.43668831168833, 222.50324675324669)",,,0.31868753
,"(500.01948051948057, 122.09740259740249)",,,
1,"(224.69480519480518, 149.3701298701298)",0,2.153690227350758,-0.4457543
,"(232.487012987013, 262.3571428571428)",2,1.8489032213761072,0.4741659
,"(405.8636363636364, 338.3311688311688)",,,0.24243928
,"(423.3758116883117, 222.5438311688311)",,,
2,"(423.3758116883117, 222.5438311688311)",0,1.3550083322183508,0.5008312
,"(500.01948051948057, 122.09740259740249)",1,1.8489032213761072,0.10153423
,"(480.538961038961, 224.6948051948051)",,,0.26834074
,"(405.8636363636364, 338.3311688311688)",,,
