face,polygon,joins,angle,vector
0,"(345.47402597402595, 74.04545454545445)",1,1.8632469719047353,0.049017195
,"(211.05844155844156, 144.1753246753246)",2,1.7108169746852853,-0.45854276
,"(380.98538961038963, 238.53409090909088)",,,0.35924205
,"(500.6688311688312, 139.62987012987003)",,,
1,"(211.05844155844156, 144.1753246753246)",0,1.8632469719047353,-0.53621805
,"(220.79870129870127, 253.2662337662337)",2,1.8165867088594425,0.39955226
,"(369.50000000000006, 350.01948051948045)",,,0.24849083
,"(380.9650974025974, 238.5543831168831)",,,
2,"(380.9650974025974, 238.5543831168831)",0,1.7108169746852853,0.6003975
,"(500.6688311688312, 139.62987012987003)",1,1.8165867088594425,0.35827997
,"(476.6428571428571, 249.3701298701298)",,,0.20962681
,"(369.50000000000006, 350.01948051948045)",,,
