face,polygon,joins,angle,vector
0,"(315.6038961038961, 76.64285714285705)",1,1.8639822605478158,0.13283369
,"(215.60389610389612, 164.30519480519473)",2,0.6704660944335741,-0.3113733
,"(424.6542207792208, 231.99999999999994)",,,0.43450904
,"(488.9805194805195, 122.09740259740249)",,,
1,"(215.60389610389612, 164.30519480519473)",0,1.8639822605478158,-0.41339263
,"(225.9935064935065, 279.24025974025966)",2,1.7606395050049888,0.5418982
,"(405.8636363636364, 343.525974025974)",,,0.24887784
,"(424.7150974025974, 232.08116883116878)",,,
2,"(424.7150974025974, 232.08116883116878)",0,0.6704660944335741,0.356421
,"(488.9805194805195, 122.09740259740249)",1,1.7606395050049888,-0.039151743
,"(471.4480519480519, 220.79870129870125)",,,0.3870136
,"(405.8636363636364, 343.525974025974)",,,
