face,polygon,joins,angle,vector
0,"(324.6948051948052, 70.14935064935054)",1,2.199384230846726,0.059762064
,"(201.96753246753244, 144.82467532467524)",2,1.9036071115330135,-0.82521605
,"(377.0892857142857, 229.8490259740259)",,,0.21846597
,"(487.6818181818182, 129.8896103896103)",,,
1,"(201.96753246753244, 144.82467532467524)",0,2.199384230846726,-0.5616187
,"(211.7077922077922, 258.4610389610389)",2,1.891162639328517,0.46901825
,"(366.2532467532468, 342.2272727272727)",,,0.18624961
,"(377.0689935064935, 229.90990259740252)",,,
2,"(377.0689935064935, 229.90990259740252)",0,1.9036071115330135,0.6558392
,"(366.2532467532468, 342.2272727272727)",1,1.891162639328517,0.34299493
,"(467.5519480519481, 233.78571428571422)",,,0.14985642
,"(487.6818181818182, 129.8896103896103)",,,
