face,polygon,joins,angle,vector
0,"(268.8506493506494, 81.83766233766227)",1,2.4616880714848346,0.09769902
,"(219.49999999999997, 187.03246753246748)",,,-0.72740614
,"(453.26623376623377, 213.00649350649343)",,,0.2633188
,"(451.96753246753246, 97.42207792207785)",,,
1,"(219.49999999999997, 187.03246753246748)",0,2.4616880714848346,-0.1430962
,"(232.487012987013, 303.91558441558436)",,,0.664543
,"(427.2922077922078, 327.2922077922077)",,,0.23363972
,"(453.26623376623377, 213.00649350649343)",,,
2,"(337.68181818181824, 129.8896103896103)",,,0.09769902
,"(335.08441558441564, 146.7727272727272)",,,-0.72740626
,"(357.1623376623377, 145.4740259740259)",,,0.2633188
,"(357.1623376623377, 128.590909090909)",,,
