face,polygon,joins,angle,vector
0,"(222.09740259740258, 107.81168831168821)",1,0.9158188144373643,0.016718032
,"(291.82142857142856, 216.45616883116878)",2,2.289428892557112,-0.7175908
,"(492.8766233766234, 163.65584415584408)",,,0.2778518
,"(388.33116883116884, 70.14935064935054)",,,
1,"(222.09740259740258, 107.81168831168821)",0,0.9158188144373643,-0.36568734
,"(229.8896103896104, 218.20129870129864)",2,2.0569943669176487,-0.24265572
,"(296.12337662337666, 331.83766233766227)",,,0.41792372
,"(291.78084415584414, 216.476461038961)",,,
2,"(291.78084415584414, 216.476461038961)",0,2.289428892557112,0.40602854
,"(492.8766233766234, 163.65584415584408)",1,2.0569943669176487,0.63603926
,"(470.1493506493507, 279.24025974025966)",,,0.19626966
,"(296.12337662337666, 331.83766233766227)",,,
