face,polygon,joins,angle,vector
0,"(296.12337662337666, 77.94155844155836)",1,2.2712062901945225,0.057823475
,"(203.9155844155844, 166.25324675324669)",2,1.0408478655535602,-0.7453969
,"(428.26623376623377, 222.42207792207782)",,,0.26323274
,"(475.99350649350646, 113.00649350649343)",,,
1,"(203.9155844155844, 166.25324675324669)",0,2.2712062901945225,-0.3362858
,"(219.49999999999997, 281.83766233766227)",2,1.2303584026100518,0.5385346
,"(404.5649350649351, 336.3831168831168)",,,0.2642082
,"(428.26623376623377, 222.42207792207782)",,,
2,"(428.26623376623377, 222.42207792207782)",0,1.0408478655535602,-0.14450942
,"(475.99350649350646, 113.00649350649343)",1,1.2303584026100518,-0.086235665
,"(428.26623376623377, 222.42207792207782)",,,0.26373357
,"(404.5649350649351, 336.3831168831168)",,,
