face,polygon,joins,angle,vector
0,"(358.461038961039, 67.55194805194793)",1,1.909217877261263,0.025050173
,"(208.46103896103895, 124.6948051948051)",2,2.061431661297801,-0.75112957
,"(333.7451298701299, 226.48051948051938)",,,0.24808124
,"(494.1753246753247, 146.12337662337654)",,,
1,"(208.46103896103895, 124.6948051948051)",0,1.909217877261263,-0.6219849
,"(219.49999999999997, 237.68181818181813)",2,1.9151388611611213,0.2950057
,"(332.48701298701303, 338.3311688311688)",,,0.19748457
,"(333.8060064935065, 226.39935064935054)",,,
2,"(333.8060064935065, 226.39935064935054)",0,2.061431661297801,0.58083683
,"(494.1753246753247, 146.12337662337654)",1,1.9151388611611213,0.46499315
,"(470.1493506493507, 261.0584415584415)",,,0.19357617
,"(332.48701298701303, 338.3311688311688)",,,
